1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
2716,NJ,New Jersey,10 - UNEXPIRED TERM,H0NJ10182,,Joanne,Miller,"Miller, Joanne",,CHA,,,,,"4,500",2.63%,,,,,,
2720,NJ,New Jersey,11,H2NJ05014,(I),Rodney P.,Frelinghuysen,"Frelinghuysen, Rodney P.",,R,"30,831",100.00%,,,"182,239",58.81%,,,,,W,
2722,NJ,New Jersey,11,H2NJ11111,,John,Arvanites,"Arvanites, John",,D,"13,387",100.00%,,,"123,935",39.99%,,,,,,
2724,NJ,New Jersey,11,H2NJ11129,,Barry,Berlin,"Berlin, Barry",,OCG,,,,,"3,725",1.20%,,,,,,
2727,NJ,New Jersey,12,H6NJ12144,(I),Rush,Holt,"Holt, Rush",,D,"24,339",100.00%,,,"189,938",69.22%,,,,,W,
2729,NJ,New Jersey,12,H2NJ12119,,Eric A.,Beck,"Beck, Eric A.",,R,"9,361",100.00%,,,"80,907",29.49%,,,,,,
2731,NJ,New Jersey,12,H0NJ06198,,Jack,Freudenheim,"Freudenheim, Jack",,IND,,,,,"2,261",0.82%,,,,,,
2732,NJ,New Jersey,12,H0NJ12170,,Kenneth J.,Cody,"Cody, Kenneth J.",,TVH,,,,,"1,285",0.47%,,,,,,
2756,NM,New Mexico,1,H8NM01257,,Michelle,Lujan Grisham,"Lujan Grisham, Michelle",,D,"19,111",40.06%,,,"162,924",59.06%,,,,,W,
2760,NM,New Mexico,1,H2NM01128,,Janice E.,Arnold-Jones,"Arnold-Jones, Janice E.",,R,"26,198",100.00%,,,"112,473",40.77%,,,,,,
2762,NM,New Mexico,1,n/a,,Jeanne,Pahls,"Pahls, Jeanne",,W,,,,,459,0.17%,,,,,,
2765,NM,New Mexico,2,H2NM02126,(I),Steve,Pearce,"Pearce, Steve",,R,"29,911",100.00%,,,"113,180",55.07%,,,,,W,
2767,NM,New Mexico,2,H2NM02175,,Evelyn Madrid,Erhard,"Erhard, Evelyn Madrid",,D,"24,175",100.00%,,,"92,162",44.84%,,,,,,
2769,NM,New Mexico,2,n/a,,Jack A.,McGrann,"McGrann, Jack A.",,W,,,,,173,0.08%,,,,,,
2772,NM,New Mexico,3,H8NM03196,(I),Ben R.,Lujan,"Lujan, Ben R.",,D,"53,908",100.00%,,,"167,103",63.12%,,,,,W,
2774,NM,New Mexico,3,H2NM03157,,Jefferson L.,Byrd,"Byrd, Jefferson L.",,R,"13,055",53.52%,,,"97,616",36.88%,,,,,,
2793,NY,New York,1,H2NY01067,(I),Timothy H.,Bishop,"Bishop, Timothy H.",,D,Unopposed,,,,"135,118",48.49%,,,"146,179",52.46%,,
2794,NY,New York,1,H2NY01067,(I),Timothy H.,Bishop,"Bishop, Timothy H.",,WF,Unopposed,,,,"11,061",3.97%,,,"146,179",52.46%,,
2796,NY,New York,1,H0NY01129,,Randy,Altschuler,"Altschuler, Randy",,CRV,Unopposed,,,,"20,125",7.22%,,,"132,304",47.48%,,
2797,NY,New York,1,H0NY01129,,Randy,Altschuler,"Altschuler, Randy",,IDP,Unopposed,,,,"4,953",1.78%,,,"132,304",47.48%,,
2798,NY,New York,1,H0NY01129,,Randy,Altschuler,"Altschuler, Randy",,R,"7,394",86.38%,,,"107,226",38.48%,,,"132,304",47.48%,,
2801,NY,New York,1,n/a,,,Scattered,Scattered,,W,,,,,176,0.06%,,,,,,
2805,NY,New York,2,H2NY03089,(I),Peter T.,King,"King, Peter T.",,R/TRP,Unopposed (R),,,,"116,363",47.90%,,,"142,309",58.58%,,
2806,NY,New York,2,H2NY03089,(I),Peter T.,King,"King, Peter T.",,CRV,Unopposed,,,,"19,515",8.03%,,,"142,309",58.58%,,
2807,NY,New York,2,H2NY03089,(I),Peter T.,King,"King, Peter T.",,IDP,Unopposed,,,,"6,431",2.65%,,,"142,309",58.58%,,
2809,NY,New York,2,H2NY02081,,Vivianne C.,Falcone,"Falcone, Vivianne C.",,D,Unopposed,,,,"93,932",38.66%,,,"100,545",41.39%,,
2810,NY,New York,2,H2NY02081,,Vivianne C.,Falcone,"Falcone, Vivianne C.",,WF,Unopposed,,,,"6,613",2.72%,,,"100,545",41.39%,,
2811,NY,New York,2,n/a,,,Scattered,Scattered,,W,,,,,89,0.04%,,,,,,
2815,NY,New York,3,H0NY02085,(I),Steve J.,Israel,"Israel, Steve J.",,D,Unopposed,,,,"146,271",53.55%,,,"157,880",57.80%,,
2816,NY,New York,3,H0NY02085,(I),Steve J.,Israel,"Israel, Steve J.",,WF,Unopposed,,,,"6,506",2.38%,,,"157,880",57.80%,,
2817,NY,New York,3,H0NY02085,(I),Steve J.,Israel,"Israel, Steve J.",,IDP,Unopposed,,,,"5,103",1.87%,,,"157,880",57.80%,,
2819,NY,New York,3,H0NY02176,,Stephen A.,Labate,"Labate, Stephen A.",,R/TRP,Unopposed (R),,,,"98,614",36.10%,,,"113,203",41.44%,,
2820,NY,New York,3,H0NY02176,,Stephen A.,Labate,"Labate, Stephen A.",,CRV,Unopposed,,,,"14,589",5.34%,,,,,,
2821,NY,New York,3,H2NY03121,,Michael,McDermott,"McDermott, Michael",,LIB,,,,,"1,644",0.60%,,,,,,
2822,NY,New York,3,H0NY02168,,Anthony,Tolda,"Tolda, Anthony",,CON,,,,,367,0.13%,,,,,,
2823,NY,New York,3,n/a,,,Scattered,Scattered,,W,,,,,77,0.03%,,,,,,
2827,NY,New York,4,H6NY04112,(I),Carolyn,McCarthy,"McCarthy, Carolyn",,D,Unopposed,,,,"152,590",57.52%,,,"163,955",61.80%,,
2828,NY,New York,4,H6NY04112,(I),Carolyn,McCarthy,"McCarthy, Carolyn",,IDP,Unopposed,,,,"3,893",1.47%,,,"163,955",61.80%,,
2829,NY,New York,4,H6NY04112,(I),Carolyn,McCarthy,"McCarthy, Carolyn",,WF,Unopposed,,,,"7,472",2.82%,,,"163,955",61.80%,,
2831,NY,New York,4,H0NY04099,,"Francis X., Jr.",Becker,"Becker, Francis X., Jr.",,R,"6,357",55.12%,,,"84,982",32.03%,,,"85,693",32.30%,,
2834,NY,New York,4,H0NY04099,,"Francis X., Jr.",Becker,"Becker, Francis X., Jr.",,TRP, ,,,,711,0.27%,,,"85,693",32.30%,,
2835,NY,New York,4,H0NY04057,,Frank J.,Scaturro,"Scaturro, Frank J.",,CRV,,,,,"15,603",5.88%,,,,,,
2839,NY,New York,4,n/a,,,Scattered,Scattered,,W,,,,,49,0.02%,,,,,,
2847,NY,New York,5,H2NY05084,,"Allan W., Jr.",Jennings,"Jennings, Allan W., Jr.",,R,Unopposed,,,,"17,875",9.55%,,,,,,
2848,NY,New York,5,H2NY05100,,Catherine,Wark,"Wark, Catherine",,LIB, ,,,,"1,345",0.72%,,,,,,
2849,NY,New York,5,n/a,,,Scattered,Scattered,,W,,,,,85,0.05%,,,,,,
2853,NY,New York,6,H2NY06116,,Grace,Meng,"Meng, Grace",,D,"14,825",52.98%,,,"107,507",65.40%,,,"111,501",67.83%,,
2858,NY,New York,6,H2NY06116,,Grace,Meng,"Meng, Grace  #",,WF,#,,,,"3,994",2.43%,,,"111,501",67.83%,,#  Rory Lancman declined the nomination after the primary election and Grace Meng was selected as the Working Families Party nominee for the general election.
2861,NY,New York,6,H2NY06157,,Daniel J.,Halloran,"Halloran, Daniel J.",,R,Unopposed,,,,"45,993",27.98%,,,"50,846",30.93%,,
2862,NY,New York,6,H2NY06157,,Daniel J.,Halloran,"Halloran, Daniel J.",,CRV/LIB,Unopposed (C),,,,"4,853",2.95%,,,"50,846",30.93%,,
2863,NY,New York,6,H8NY05081,,Evergreen C.,Chou,"Chou, Evergreen C.",,GRE,Unopposed,,,,"1,913",1.16%,,,,,,
2864,NY,New York,6,n/a,,,Scattered,Scattered,,W,,,,,114,0.07%,,,,,,
2868,NY,New York,7,H2NY00010,(I),Nydia M.,Velazquez,"Velazquez, Nydia M.",,WF,Unopposed,,,,"9,128",6.00%,,,"143,930",94.62%,,
2869,NY,New York,7,H2NY00010,(I),Nydia M.,Velazquez,"Velazquez, Nydia M.",,D,"17,208",57.92%,,,"134,802",88.62%,,,"143,930",94.62%,,
2874,NY,New York,7,H2NY07056,,James,Murray,"Murray, James",,CRV,Unopposed,,,,"7,971",5.24%,,,,,,
2875,NY,New York,7,n/a,,,Scattered,Scattered,,W,,,,,210,0.14%,,,,,,
2879,NY,New York,8,H2NY10092,,Hakeem S.,Jeffries,"Jeffries, Hakeem S.",,WF,Unopposed,,,,"5,351",2.62%,,,"184,039",90.12%,,
2880,NY,New York,8,H2NY10092,,Hakeem S.,Jeffries,"Jeffries, Hakeem S.",,D,"28,271",71.75%,,,"178,688",87.50%,,,"184,039",90.12%,,
2884,NY,New York,8,H2NY08120,,Alan S.,Bellone,"Bellone, Alan S.",,R,Unopposed,,,,"15,841",7.76%,,,"17,650",8.64%,,
2885,NY,New York,8,H2NY08120,,Alan S.,Bellone,"Bellone, Alan S.",,CRV,Unopposed,,,,"1,809",0.89%,,,"17,650",8.64%,,
2886,NY,New York,8,H2NY08138,,Colin M.,Beavan,"Beavan, Colin M.",,GRE,Unopposed,,,,"2,441",1.20%,,,,,,
2887,NY,New York,8,n/a,,,Scattered,Scattered,,W,,,,,77,0.04%,,,,,,
2891,NY,New York,9,H4NY11138,(I),Yvette D.,Clarke,"Clarke, Yvette D.",,WF,Unopposed,,,,"7,973",3.74%,,,,,,
2892,NY,New York,9,H4NY11138,(I),Yvette D.,Clarke,"Clarke, Yvette D.",,D,"15,069",88.32%,,,"178,168",83.48%,,,,,,
2896,NY,New York,9,H2NY09110,,Daniel J.,Cavanagh,"Cavanagh, Daniel J.",,R,Unopposed,,,,"20,899",9.79%,,,,,,
2897,NY,New York,9,H2NY09110,,Daniel J.,Cavanagh,"Cavanagh, Daniel J.",,CRV,Unopposed,,,,"3,265",1.53%,,,,,,
2898,NY,New York,9,H2NY09128,,Vivia M.,Morgan,"Morgan, Vivia M.",,GRE,Unopposed,,,,"2,991",1.40%,,,,,,
2899,NY,New York,9,n/a,,,Scattered,Scattered,,W,,,,,135,0.06%,,,,,,
2903,NY,New York,10,H2NY17071,(I),Jerrold L.,Nadler,"Nadler, Jerrold L.",,D,Unopposed,,,,"156,619",76.27%,,,"165,743",80.71%,,
2904,NY,New York,10,H2NY17071,(I),Jerrold L.,Nadler,"Nadler, Jerrold L.",,WF,Unopposed,,,,"9,124",4.44%,,,"165,743",80.71%,,
2906,NY,New York,10,H2NY10100,,Michael W.,Chan,"Chan, Michael W.",,R,Unopposed,,,,"35,538",17.31%,,,"39,413",19.19%,,
2907,NY,New York,10,H2NY10100,,Michael W.,Chan,"Chan, Michael W.",,CRV,Unopposed,,,,"3,875",1.89%,,,"39,413",19.19%,,
2908,NY,New York,10,n/a,,,Scattered,Scattered,,W,,,,,193,0.09%,,,,,,
2912,NY,New York,11,H0NY13074,(I),Michael G.,Grimm,"Grimm, Michael G.",,R,Unopposed,,,,"91,030",46.06%,,,"103,118",52.18%,,
2913,NY,New York,11,H0NY13074,(I),Michael G.,Grimm,"Grimm, Michael G.",,CRV,Unopposed,,,,"12,088",6.12%,,,"103,118",52.18%,,
2915,NY,New York,11,H2NY13088,,Mark S.,Murphy,"Murphy, Mark S.",,D,Unopposed,,,,"87,720",44.38%,,,"92,430",46.77%,,
2916,NY,New York,11,H2NY13088,,Mark S.,Murphy,"Murphy, Mark S.",,WF,Unopposed,,,,"4,710",2.38%,,,"92,430",46.77%,,
2917,NY,New York,11,H2NY13062,,Henry J.,Bardel,"Bardel, Henry J.",,GRE,Unopposed,,,,"1,939",0.98%,,,,,,
2918,NY,New York,11,n/a,,,Scattered,Scattered,,W,,,,,148,0.07%,,,,,,
2922,NY,New York,12,H2NY14037,(I),Carolyn B.,Maloney,"Maloney, Carolyn B.",,D,Unopposed,,,,"185,757",76.94%,,,"194,370",80.51%,,
2923,NY,New York,12,H2NY14037,(I),Carolyn B.,Maloney,"Maloney, Carolyn B.",,WF,Unopposed,,,,"8,613",3.57%,,,"194,370",80.51%,,
2925,NY,New York,12,H2NY12155,,Christopher R.,Wight,"Wight, Christopher R.",,R,Unopposed,,,,"42,110",17.44%,,,"46,841",19.40%,,
2926,NY,New York,12,H2NY12155,,Christopher R.,Wight,"Wight, Christopher R.",,CRV,Unopposed,,,,"2,257",0.93%,,,"46,841",19.40%,,
2927,NY,New York,12,H2NY12155,,Christopher R.,Wight,"Wight, Christopher R.",,IDP,Unopposed,,,,"2,474",1.02%,,,"46,841",19.40%,,
2928,NY,New York,12,n/a,,,Scattered,Scattered,,W,,,,,215,0.09%,,,,,,
2932,NY,New York,13,H6NY19029,(I),Charles B.,Rangel,"Rangel, Charles B.",,WF,Unopposed,,,,"4,326",2.24%,,,"175,016",90.72%,,
2933,NY,New York,13,H6NY19029,(I),Charles B.,Rangel,"Rangel, Charles B.",,D,"19,187",44.45%,,,"170,690",88.48%,,,"175,016",90.72%,,
2939,NY,New York,13,H8NY15122,,Craig,Schley,"Schley, Craig",,R,Unopposed,,,,"12,147",6.30%,,,,,,
2940,NY,New York,13,H2NY13104,,Deborah O.,Liatos,"Liatos, Deborah O.",,SWP,,,,,"5,548",2.88%,,,,,,
2941,NY,New York,13,n/a,,,Scattered,Scattered,,W,,,,,202,0.10%,,,,,,
2945,NY,New York,14,H8NY07046,(I),Joseph,Crowley,"Crowley, Joseph",,D,Unopposed,,,,"116,117",79.98%,,,"120,761",83.17%,,
2946,NY,New York,14,H8NY07046,(I),Joseph,Crowley,"Crowley, Joseph",,WF,Unopposed,,,,"4,644",3.20%,,,"120,761",83.17%,,
2948,NY,New York,14,H8NY03052,,"Willam F., Jr.",Gibbons,"Gibbons, Willam F., Jr.",,R,Unopposed,,,,"19,191",13.22%,,,"21,755",14.98%,,
2949,NY,New York,14,H8NY03052,,"Willam F., Jr.",Gibbons,"Gibbons, Willam F., Jr.",,CRV,Unopposed,,,,"2,564",1.77%,,,"21,755",14.98%,,
2950,NY,New York,14,H0NY07076,,Anthony,Gronowicz,"Gronowicz, Anthony",,GRE,Unopposed,,,,"2,570",1.77%,,,,,,
2951,NY,New York,14,n/a,,,Scattered,Scattered,,W,,,,,104,0.07%,,,,,,
2955,NY,New York,15,H0NY18065,(I),Jose E.,Serrano,"Serrano, Jose E.",,D,Unopposed,,,,"150,243",95.63%,,,"152,661",97.17%,,
2956,NY,New York,15,H0NY18065,(I),Jose E.,Serrano,"Serrano, Jose E.",,WF,Unopposed,,,,"2,418",1.54%,,,"152,661",97.17%,,
2958,NY,New York,15,H0NY16119,,Frank L. ,Della Valle,"Della Valle, Frank L.",,R,Unopposed,,,,"3,487",2.22%,,,"4,427",2.82%,,
2959,NY,New York,15,H0NY16119,,Frank L. ,Della Valle,"Della Valle, Frank L.",,CRV,Unopposed,,,,940,0.60%,,,"4,427",2.82%,,
2960,NY,New York,15,n/a,,,Scattered,Scattered,,W,,,,,27,0.02%,,,,,,
2964,NY,New York,16,H8NY19058,(I),Eliot L.,Engel,"Engel, Eliot L.",,WF,Unopposed,,,,"5,676",2.40%,,,"179,562",75.91%,,
2965,NY,New York,16,H8NY19058,(I),Eliot L.,Engel,"Engel, Eliot L.",,D,"12,856",87.34%,,,"173,886",73.51%,,,"179,562",75.91%,,
2968,NY,New York,16,H2NY16057,,Joseph,McLaughlin,"McLaughlin, Joseph",,R,Unopposed,,,,"53,935",22.80%,,,,,,
2969,NY,New York,16,H6NY17130,,Joseph,Diaferia,"Diaferia, Joseph",,GRE,Unopposed,,,,"2,974",1.26%,,,,,,
2970,NY,New York,16,n/a,,,Scattered,Scattered,,W,,,,,82,0.03%,,,,,,
2974,NY,New York,17,H8NY20056,(I),Nita M.,Lowey,"Lowey, Nita M.",,D,Unopposed,,,,"161,624",60.71%,,,"171,417",64.39%,,
2975,NY,New York,17,H8NY20056,(I),Nita M.,Lowey,"Lowey, Nita M.",,WF,Unopposed,,,,"9,793",3.68%,,,"171,417",64.39%,,
2976,NY,New York,17,H2NY17139,,Joe,Carvin,"Carvin, Joe",,R,"4,225",64.68%,,,"91,899",34.52%,,,,,,
2979,NY,New York,17,H2NY17147,,Francis E.,Morganthaler,"Morganthaler, Francis E.",,WTP, ,,,,"2,771",1.04%,,,,,,
2980,NY,New York,17,n/a,,,Scattered,Scattered,,W,,,,,118,0.04%,,,,,,
2984,NY,New York,18,H2NY22139,,Sean Patrick,Maloney,"Maloney, Sean Patrick  #",,WF,#,,,,"11,389",4.11%,,,"143,845",51.92%,,#  Larry Weissman declined the nomination after the primary election and Sean Patrick Maloney was selected as the Working Families Party nominee for the general election.
2985,NY,New York,18,H2NY22139,,Sean Patrick,Maloney,"Maloney, Sean Patrick",,D,"7,493",48.27%,,,"132,456",47.81%,,,"143,845",51.92%,,
2993,NY,New York,18,H0NY19139,(I),Nan,Hayworth,"Hayworth, Nan",,R,Unopposed,,,,"113,386",40.92%,,,"133,049",48.02%,,
2994,NY,New York,18,H0NY19139,(I),Nan,Hayworth,"Hayworth, Nan",,CRV,Unopposed,,,,"19,663",7.10%,,,"133,049",48.02%,,
2995,NY,New York,18,n/a,,,Scattered,Scattered,,W,,,,,169,0.06%,,,,,,
2999,NY,New York,19,H0NY20095,(I),Christopher P.,Gibson,"Gibson, Christopher P.",,R,Unopposed,,,,"123,066",43.23%,,,"150,245",52.78%,,
3000,NY,New York,19,H0NY20095,(I),Christopher P.,Gibson,"Gibson, Christopher P.",,CRV,Unopposed,,,,"17,629",6.19%,,,"150,245",52.78%,,
3001,NY,New York,19,H0NY20095,(I),Christopher P.,Gibson,"Gibson, Christopher P.",,IDP,Unopposed,,,,"9,550",3.35%,,,"150,245",52.78%,,
3003,NY,New York,19,H2NY00051,,Julian,Schreibman,"Schreibman, Julian",,WF,Unopposed,,,,"13,336",4.68%,,,"134,295",47.17%,,
3004,NY,New York,19,H2NY00051,,Julian,Schreibman,"Schreibman, Julian",,D,"6,653",58.82%,,,"120,959",42.49%,,,"134,295",47.17%,,
3007,NY,New York,19,n/a,,,Scattered,Scattered,,W,,,,,139,0.05%,,,,,,
3011,NY,New York,20,H8NY21203,(I),Paul D.,Tonko,"Tonko, Paul D.",,D,Unopposed,,,,"181,093",60.91%,,,"203,401",68.41%,,
3012,NY,New York,20,H8NY21203,(I),Paul D.,Tonko,"Tonko, Paul D.",,IDP,Unopposed,,,,"10,291",3.46%,,,"203,401",68.41%,,
3013,NY,New York,20,H8NY21203,(I),Paul D.,Tonko,"Tonko, Paul D.",,WF,Unopposed,,,,"12,017",4.04%,,,"203,401",68.41%,,
3015,NY,New York,20,H2NY21099,,Robert J.,Dieterich,"Dieterich, Robert J.",,R,Unopposed,,,,"79,102",26.61%,,,"93,778",31.54%,,
3016,NY,New York,20,H2NY21099,,Robert J.,Dieterich,"Dieterich, Robert J.",,CRV,Unopposed,,,,"14,676",4.94%,,,"93,778",31.54%,,
3017,NY,New York,20,n/a,,,Scattered,Scattered,,W,,,,,135,0.05%,,,,,,
3021,NY,New York,21,H0NY23081,(I),William L.,Owens,"Owens, William L.",,D,Unopposed,,,,"117,856",46.67%,,,"126,631",50.14%,,
3022,NY,New York,21,H0NY23081,(I),William L.,Owens,"Owens, William L.",,WF,Unopposed,,,,"8,775",3.47%,,,"126,631",50.14%,,
3024,NY,New York,21,H0NY23057,,Matthew A.,Doheny,"Doheny, Matthew A.",,CRV,Unopposed,,,,"12,877",5.10%,,,"121,646",48.17%,,
3025,NY,New York,21,H0NY23057,,Matthew A.,Doheny,"Doheny, Matthew A.",,IDP,Unopposed,,,,"4,401",1.74%,,,"121,646",48.17%,,
3026,NY,New York,21,H0NY23057,,Matthew A.,Doheny,"Doheny, Matthew A.",,R,"9,331",70.81%,,,"104,368",41.32%,,,"121,646",48.17%,,
3029,NY,New York,21,H2NY21107,,Donald L.,Hassig,"Hassig, Donald L.",,GRE,Unopposed,,,,"4,174",1.65%,,,,,,
3030,NY,New York,21,n/a,,,Scattered,Scattered,,W,,,,,105,0.04%,,,,,,
3034,NY,New York,22,H8NY24066,(I),Richard L.,Hanna,"Hanna, Richard L.",,IDP,Unopposed,,,,"12,899",4.94%,,,"157,941",60.55%,,
3035,NY,New York,22,H8NY24066,(I),Richard L.,Hanna,"Hanna, Richard L.",,R,"10,627",71.13%,,,"145,042",55.60%,,,"157,941",60.55%,,
3038,NY,New York,22,H2NY22147,,Dan,Lamb,"Lamb, Dan",,D,Unopposed,,,,"102,080",39.13%,,,,,,
3039,NY,New York,22,n/a,,,Scattered,Scattered,,W,,,,,842,0.32%,,,,,,
3043,NY,New York,23,H0NY29054,(I),"Thomas W., II",Reed,"Reed, Thomas W., II",,R,Unopposed,,,,"117,641",44.35%,,,"137,669",51.90%,,
3044,NY,New York,23,H0NY29054,(I),"Thomas W., II",Reed,"Reed, Thomas W., II",,CRV,Unopposed,,,,"14,273",5.38%,,,"137,669",51.90%,,
3045,NY,New York,23,H0NY29054,(I),"Thomas W., II",Reed,"Reed, Thomas W., II",,IDP,Unopposed,,,,"5,755",2.17%,,,"137,669",51.90%,,
3047,NY,New York,23,H2NY22113,,Nate,Shinagawa,"Shinagawa, Nate",,WF,Unopposed,,,,"12,945",4.88%,,,"127,535",48.08%,,
3048,NY,New York,23,H2NY22113,,Nate,Shinagawa,"Shinagawa, Nate",,D,"6,162",53.86%,,,"114,590",43.20%,,,"127,535",48.08%,,
3052,NY,New York,23,n/a,,,Scattered,Scattered,,W,,,,,78,0.03%,,,,,,
3056,NY,New York,24,H6NY25125,,Daniel B.,Maffei,"Maffei, Daniel B.",,D,Unopposed,,,,"133,908",45.70%,,,"143,044",48.82%,,
3057,NY,New York,24,H6NY25125,,Daniel B.,Maffei,"Maffei, Daniel B.",,WF,Unopposed,,,,"9,136",3.12%,,,"143,044",48.82%,,
3059,NY,New York,24,H0NY25078,(I),Ann Marie,Buerkle,"Buerkle, Ann Marie",,R,Unopposed,,,,"105,584",36.04%,,,"127,054",43.36%,,
3060,NY,New York,24,H0NY25078,(I),Ann Marie,Buerkle,"Buerkle, Ann Marie",,CRV,Unopposed,,,,"16,481",5.63%,,,"127,054",43.36%,,
3061,NY,New York,24,H0NY25078,(I),Ann Marie,Buerkle,"Buerkle, Ann Marie",,IDP,Unopposed,,,,"4,989",1.70%,,,"127,054",43.36%,,
3062,NY,New York,24,H2NY24119,,Ursula E.,Rozum,"Rozum, Ursula E.",,GRE,Unopposed,,,,"22,670",7.74%,,,,,,
3063,NY,New York,24,n/a,,,Scattered,Scattered,,W,,,,,220,0.08%,,,,,,
3067,NY,New York,25,H6NY03031,(I),Louise M.,Slaughter,"Slaughter, Louise M.",,D,Unopposed,,,,"168,761",53.84%,,,"179,810",57.36%,,
3068,NY,New York,25,H6NY03031,(I),Louise M.,Slaughter,"Slaughter, Louise M.",,WF,Unopposed,,,,"11,049",3.52%,,,"179,810",57.36%,,
3070,NY,New York,25,H2NY25074,,Maggie,Brooks,"Brooks, Maggie",,R,Unopposed,,,,"109,292",34.87%,,,"133,389",42.55%,,
3071,NY,New York,25,H2NY25074,,Maggie,Brooks,"Brooks, Maggie",,CRV,Unopposed,,,,"18,543",5.92%,,,"133,389",42.55%,,
3072,NY,New York,25,H2NY25074,,Maggie,Brooks,"Brooks, Maggie",,IDP,Unopposed,,,,"5,554",1.77%,,,"133,389",42.55%,,
3073,NY,New York,25,n/a,,,Scattered,Scattered,,W,,,,,253,0.08%,,,,,,
3077,NY,New York,26,H4NY27076,(I),Brian,Higgins,"Higgins, Brian",,D,Unopposed,,,,"195,234",68.68%,,,"212,588",74.78%,,
3078,NY,New York,26,H4NY27076,(I),Brian,Higgins,"Higgins, Brian",,WF,Unopposed,,,,"17,354",6.10%,,,"212,588",74.78%,,
3080,NY,New York,26,H2NY26171,,Michael H.,Madigan,"Madigan, Michael H.",,R,Unopposed,,,,"57,368",20.18%,,,"71,666",25.21%,,
3081,NY,New York,26,H2NY26171,,Michael H.,Madigan,"Madigan, Michael H.",,CRV,Unopposed,,,,"10,243",3.60%,,,"71,666",25.21%,,
3082,NY,New York,26,H2NY26171,,Michael H.,Madigan,"Madigan, Michael H.",,IDP,Unopposed,,,,"4,055",1.43%,,,"71,666",25.21%,,
3083,NY,New York,26,n/a,,,Scattered,Scattered,,W,,,,,17,0.01%,,,,,,
3087,NY,New York,27,H8NY29032,,Chris,Collins,"Collins, Chris",,CRV,Unopposed,,,,"23,970",7.55%,,,"161,220",50.77%,,
3088,NY,New York,27,H8NY29032,,Chris,Collins,"Collins, Chris",,R,"11,677",59.86%,,,"137,250",43.22%,,,"161,220",50.77%,,
3092,NY,New York,27,H2NY00036,(I),Kathy C.,Hochul,"Hochul, Kathy C.",,D,Unopposed,,,,"140,008",44.09%,,,"156,219",49.20%,,
3093,NY,New York,27,H2NY00036,(I),Kathy C.,Hochul,"Hochul, Kathy C.",,WF,Unopposed,,,,"16,211",5.11%,,,"156,219",49.20%,,
3094,NY,New York,27,n/a,,,Scattered,Scattered,,W,,,,,95,0.03%,,,,,,
3116,NC,North Carolina,1,H4NC01046,(I),G. K .,Butterfield,"Butterfield, G. K .",,D,"89,531",81.13%,,,"254,644",75.32%,,,,,W,
3119,NC,North Carolina,1,H2NC01198,,Pete,DiLauro,"DiLauro, Pete",,R,Unopposed,,,,"77,288",22.86%,,,,,,
3120,NC,North Carolina,1,H0NC03107,,Darryl ,Holloman,"Holloman, Darryl ",,LIB,Unopposed,,,,"6,134",1.81%,,,,,,
3123,NC,North Carolina,2,H0NC02059,(I),Renee,Ellmers,"Ellmers, Renee",,R,"37,661",55.98%,,,"174,066",55.90%,,,,,W,
3128,NC,North Carolina,2,H2NC02170,,Steve,Wilkins,"Wilkins, Steve",,D,"24,327",50.69%,,,"128,973",41.42%,,,,,,
3132,NC,North Carolina,2,H2NC02204,,Brian,Irving,"Irving, Brian",,LIB,Unopposed,,,,"8,358",2.68%,,,,,,
3135,NC,North Carolina,3,H2NC01081,(I),Walter B.,Jones,"Jones, Walter B.",,R,"42,644",68.99%,,,"195,571",63.11%,,,,,W,
3138,NC,North Carolina,3,H2NC03087,,Erik,Anderson,"Anderson, Erik",,D,Unopposed,,,,"114,314",36.89%,,,,,,
3141,NC,North Carolina,4,H6NC04037,(I),David,Price,"Price, David",,D,Unopposed,,,,"259,534",74.47%,,,,,W,
3142,NC,North Carolina,4,H0NC08163,,Tim,D'Annunzio,"D'Annunzio, Tim",,R,"14,065",46.41%,,,"88,951",25.53%,,,,,,
3148,NC,North Carolina,5,H4NC05146,(I),Virginia ,Foxx,"Foxx, Virginia ",,R,Unopposed,,,,"200,945",57.54%,,,,,W,
3149,NC,North Carolina,5,H2NC05132,,Elisabeth,Motsinger,"Motsinger, Elisabeth",,D,"38,512",69.73%,,,"148,252",42.46%,,,,,,
3154,NC,North Carolina,6,H4NC06011,(I),Howard,Coble,"Coble, Howard",,R,"50,701",57.29%,,,"222,116",60.92%,,,,,W,
3158,NC,North Carolina,6,H2NC06072,,Tony,Foriest,"Foriest, Tony",,D,Unopposed,,,,"142,467",39.08%,,,,,,
3161,NC,North Carolina,7,H8NC07044,(I),Mike ,McIntyre,"McIntyre, Mike ",,D,Unopposed,,,,"168,695",50.10%,,,,,W,
3162,NC,North Carolina,7,H2NC07096,,David ,Rouzer,"Rouzer, David ",,R,"34,647",48.52%,,,"168,041",49.90%,,,,,,
